Config,Ann.Return,Ann.Vol,Sharpe,Sortino,CVaR_0.95,MaxDD,Calmar
A1,0.023967,0.168004,0.142655,0.228715,0.022307,-0.231394,0.103575
A2,0.071146,0.179793,0.395709,0.679877,0.022391,-0.249122,0.285586
A3,0.034693,0.184774,0.187758,0.30909,0.024168,-0.260595,0.133129
A4,0.067132,0.193584,0.346786,0.552843,0.025976,-0.272189,0.246638
EqualWeight,0.103365,0.170134,0.607552,0.980777,0.022629,-0.178209,0.580022
MVP,0.051559,0.151625,0.340041,0.55452,0.019836,-0.182218,0.28295
RiskParity,0.089378,0.160736,0.556052,0.901321,0.021089,-0.180576,0.494961
