Period,Strategy,Ann.Return,Ann.Vol,Sharpe,Sortino,CVaR₀.₉₅,MaxDD,Calmar
2022 (Tightening),A4 (CQL+CVaR+Macro) ★,-0.019390884557800345,0.22546488199776485,-0.0860040126248689,-0.14010339982431114,0.029691775315860775,-0.24090215919511526,-0.08049278023321897
2022 (Tightening),1/N,0.11888924144571847,0.20731545102017904,0.5734702399684932,0.9076629084153507,0.02647605654081536,-0.17218095930175276,0.6904900630583733
2022 (Tightening),Min. Variance,0.01002982352314439,0.18697531077369028,0.05364250221936633,0.09551586955302221,0.022956305525318035,-0.18221785329646892,0.055043034157722416
2023 (Peak/Stable),A4 (CQL+CVaR+Macro) ★,0.16330630314981506,0.1950248388151903,0.8373615593886868,1.4073295959499963,0.024334662499821098,-0.19800698448800189,0.8247502156153007
2023 (Peak/Stable),1/N,0.22545212267654235,0.16699104851726956,1.350085077483821,2.402976313987466,0.02004334995244226,-0.10292403315721209,2.190471124777765
2023 (Peak/Stable),Min. Variance,0.10721698707777834,0.143784793465341,0.7456768166768813,1.2656028788536793,0.017955125644664945,-0.08904232933109801,1.2041125595344553
2024 (Easing),A4 (CQL+CVaR+Macro) ★,0.09502112093692525,0.15014215063108896,0.6328743829599164,0.9982314129199523,0.019365881574564443,-0.12692192726681803,0.7486580371346693
2024 (Easing),1/N,-0.05050260244364385,0.11901123870197294,-0.42435154019455334,-0.720600036126489,0.014822922366746878,-0.14123745230899115,-0.3575723125701614
2024 (Easing),Min. Variance,0.036148004359116186,0.10988791026272823,0.32895342420008566,0.5004356631039516,0.0147456062050984,-0.09981380249193644,0.36215436599598977
