Strategy,Ann.Return,Ann.Vol,Sharpe,Sortino,CVaR₀.₉₅,MaxDD,Calmar
A1 (Unconstrained+Sharpe),0.02620410821659447,0.16827509121428222,0.15572184823971388,0.2510863807940243,0.022245755953501145,-0.23139397790099947,0.11324455568936949
A2 (CQL+Sharpe),0.08016069235858998,0.179590202623945,0.446353371104789,0.778377137424607,0.022064347975141462,-0.24912201688451086,0.32177281382460565
A3 (CQL+CVaR),0.039078475115952575,0.18513126946894326,0.21108522200517937,0.35002150332094767,0.024050665782395696,-0.26059451550373214,0.14995893156236784
A4 (CQL+CVaR+Macro) ★,0.07881518179125202,0.19423104163840937,0.4057805648696384,0.648168007054486,0.026026687358565708,-0.27218891294821757,0.2895605884073837
1/N,0.1033650820037822,0.17013375035166742,0.6075518924970853,0.9807769354423347,0.02262909037359489,-0.17820891256204607,0.5800219557918805
Min. Variance,0.05155850783860964,0.1516245704406947,0.34004058635586276,0.5545199676296925,0.019835787730877328,-0.18221785329646892,0.2829498147732199
Risk Parity,0.08937791319177198,0.1607364812596989,0.5560524436724839,0.9013208371437436,0.021089200575102236,-0.18057576121326155,0.49496074440586674
