conservative_weight,oos_sharpe,oos_cvar5,oos_ann_ret,train_time_s
0.5,0.3816,0.0258,0.0738,3170.4
1.0,0.4632,0.0252,0.089,2876.2
2.0,0.1236,0.0253,0.0234,3184.9
