Metric,Value
N_train,1485
N_eval,748
state_dim,225
action_dim,10
Train reward mean,-0.017915
Train reward std,0.020099
Train reward min,-0.148699
Train reward max,0.000322
Eval reward mean,-0.016653
Eval reward std,0.005899
Eval reward min,-0.028703
Eval reward max,-0.003850
Train CVaR improv. vs 1/N (%),+37.65
Eval CVaR improv. vs 1/N (%),+10.71
