Ticker,Mean (ann.),Std (ann.),Skewness,Kurtosis,JB p-value,CVaR$_{0.95}$,Max Drawdown
ABEV3,0.012365877700980509,0.2639787264869601,-0.43483141478925214,9.493437492969612,0.0,-0.037162155013858014,-0.5694752311316611
B3SA3,0.15680106714456438,0.3746784060533591,-0.1092120552173356,4.5755187568955815,0.0,-0.05116666340486408,-0.6408718458501225
BBAS3,0.14502723905407208,0.4060979017032878,-0.5781699120492142,10.804591173461318,0.0,-0.05721660289618323,-0.6272123338411538
BBDC4,0.034655741926929926,0.3544920630775721,-0.5171208884215395,8.973492867358189,0.0,-0.051106605591141094,-0.6345459239136613
ITUB4,0.10351091825549652,0.31005301777448196,-0.43094306103459556,7.223991792471811,0.0,-0.043703872392921006,-0.5040307218467265
PETR4,0.2602463033093823,0.4784302682152544,-1.0947741022064357,13.839694549424882,0.0,-0.07093488791334489,-0.7440136108626512
RENT3,0.13175445289069976,0.4196143024838536,-0.25243882433391146,10.825756850813365,0.0,-0.05824035800764535,-0.6604150039495879
SUZB3,0.13095704323073257,0.32724431693444384,0.23347952882303719,10.616840563404626,0.0,-0.04693289099516164,-0.6129757560771842
VALE3,0.15959761650862808,0.4360493479769749,-0.27479386307758047,8.4425319097461,0.0,-0.0610683643635461,-0.7135080416263423
WEGE3,0.23910264710416104,0.3349675323280775,-0.454224564164788,10.193868644409543,0.0,-0.045110269663349106,-0.5360572603964223
