Regime,Strategy,Sharpe,CVaR₀.₉₅,Ann.Return
Falling,A4 (CQL+CVaR+Macro) ★,0.46090873303140945,0.021539833289945687,0.07508909191239674
Falling,1/N,-0.45239708785469707,0.015492953270918174,-0.05988662035330642
Falling,Min. Variance,-0.2183549762500238,0.016658840483621942,-0.0261282237170621
Stable,A4 (CQL+CVaR+Macro) ★,0.4928902726267862,0.02486229192775175,0.09279885460912252
Stable,1/N,0.7317757568778929,0.0235711064622986,0.1263827073183737
Stable,Min. Variance,0.6999792392550668,0.019077562556083543,0.10011603964171854
Rising,A4 (CQL+CVaR+Macro) ★,0.2810951410387595,0.0290046100327525,0.06414234350595677
Rising,1/N,1.2049881245509122,0.024354428696418403,0.23851369127018876
Rising,Min. Variance,0.35370950412702057,0.022161941859455882,0.06625525620345256
